Fb,Original Material Name,MTC Item Name (ODOO),Keterangan,Penggunaan/bulan,Kontrak 3 bulan,Tanggal List,Qty,Product Category,Reason,URGENCY,Link Refferences,Vendor,Harga (diisi oleh procurement),Nomor PR,Status PR,,Status PA,Status PO,No PO,PO Approved ,ETA Foom,Link GR,,,,,,
15,Rexco 18 Contact Cleaner 500 Ml Pembersih Elektrik - Berat bersih,Rexco 18 Contact cleaner,consumable,,,08/09/25,3,Sparepart,untuk stock maintenance,,https://tk.tokopedia.com/ZSAEQwF84/,,"77,700",PR02474,CONTINUE,TE02428,DONE,DONE,P10626,,,https://foomx.odoo.com/web#id=4136&cids=1&menu_id=822&active_id=10628&model=good.received&view_type=form,TRUE,09/10/2025,,,,
16,Mesin Bubut Mini Lathe Bench High-Power Brushless 1100W - MX210V (Merah),Mesin Bubut Mini 1100W - MX210V,one time purchase,,,09/09/25,1,Special Tools,Untuk kebutuhan maintenance,URGENT,https://id.shp.ee/rwuzJKx,,"12,198,900",PR02470,CONTINUE,TE02407,DONE,DONE,P10405,,,https://foomx.odoo.com/web#id=3973&cids=1&menu_id=822&active_id=10407&model=good.received&view_type=form,TRUE,11/10/2025,,,,
17,Cylinder Pneumatic// silinder Twin Rod TN 20 x 40-S,Biaxial Cylinder TN 20 X 40S,consumable,,,09/09/25,3,Sparepart,Untuk stock maintenance ,,https://tk.tokopedia.com/ZSD1UXErm/,,"721,500",PR02471,CONTINUE,TE02411,DONE,DONE,P10407,,,https://foomx.odoo.com/web#id=3971&cids=1&menu_id=822&active_id=10409&model=good.received&view_type=form,TRUE,06/10/2025,,,,
18,Cap pressing cylinder,Cylinder 16 X 30 (Piston Capping),consumable,,,09/09/25,1,Sparepart,sparepart mesin capping,,	PT. KARYA MANDIRI MACHINERY,,"1,665,000",PR02357,CONTINUE,TE02377,DONE,DONE,P10273,,,https://foomx.odoo.com/web#id=3894&cids=1&menu_id=822&active_id=10275&model=good.received&view_type=form,TRUE,02/10/2025,,,,
19,"TEKIRO Kikir Set 6 8 inch Files Set 4 6"" / 8"" Original - 8 inch",Tekiro Kikir Set 8 inch,one time purchase,,,10/09/25,1,Tools,Untuk kebutuhan maintenance,,https://tk.tokopedia.com/ZSDeuMnTt/,,"277,500",PR02475,CONTINUE,TE02439,DONE,DONE,P10488,,,https://foomx.odoo.com/web#id=4000&cids=1&menu_id=822&active_id=10490&model=good.received&view_type=form,TRUE,13/10/2025,,,,
20,END MILL NACHI HSS 4 SE 6 MM ( Mata milling nachi 6 mm ),End MIll Nachi HSS 4SE 6mm,one time purchase,,,10/09/25,1,Special Tools,Untuk kebutuhan maintenance,,https://tk.tokopedia.com/ZSDdYxBte/,,"277,500",PR02475,CONTINUE,TE02439,DONE,DONE,P10488,,,https://foomx.odoo.com/web#id=4000&cids=1&menu_id=822&active_id=10490&model=good.received&view_type=form,TRUE,07/10/2025,,,,
21,Endmill HSS (mata bor frais) 4 flute 13mm SOLID,Endmill HSS 4 flute 13mm SOLID,one time purchase,,,10/09/25,1,Special Tools,Untuk kebutuhan maintenance,,https://tk.tokopedia.com/ZSDdYfMFp/,,"260,850",PR02475,CONTINUE,TE02439,DONE,DONE,P10488,,,https://foomx.odoo.com/web#id=4000&cids=1&menu_id=822&active_id=10490&model=good.received&view_type=form,TRUE,09/10/2025,,,,
22,STOP KONTAK BROCO 2 3 4 5 6 LUBANG / TERMINAL / COLOKAN LISTRIK BROCO - 3 LUBANG,Stopkontak isi 3,consumable,,,13/09/25,5,Sparepart,consumable part (Repeat Order),,https://tk.tokopedia.com/ZSDCDWrgH/,Shaqueena,"40,375",PR02383,CONTINUE,TE02378,DONE,DONE,P10274,,,https://foomx.odoo.com/web#id=3895&menu_id=822&cids=1&active_id=10276&model=good.received&view_type=form,TRUE,26/09/2025,,,,
23,STOP KONTAK BROCO 2 3 4 5 6 LUBANG / TERMINAL / COLOKAN LISTRIK BROCO - 5 LUBANG,Stopkontak isi 5,consumable,,,13/09/25,15,Sparepart,consumable part (Repeat Order),,https://tk.tokopedia.com/ZSDCDQREQ/,Shaqueena,"61,114",PR02383,CONTINUE,TE02378,DONE,DONE,P10274,,,https://foomx.odoo.com/web#id=3895&menu_id=822&cids=1&active_id=10276&model=good.received&view_type=form,TRUE,26/09/2025,,,,
24,"Selang Pu 8 mm x 5 mm selang pneumatic 8mm ( POLYURHETANE ) harga 1 roll - Biru, 100 M 1 Roll",Selang PU Pneumatic 8MM X 5MM,consumable,,,13/09/25,1,Sparepart,consumable part (Repeat Order),URGENT,https://tk.tokopedia.com/ZSDLvyMgD/,Shaqueena,"350,200",PR02412,CONTINUE,TE02382,DONE,DONE,P10311,,,https://foomx.odoo.com/web#id=3909&cids=1&menu_id=822&active_id=10313&model=good.received&view_type=form,TRUE,13/10/2025,,,,
25,Mini PC Windows Intel i3 gen 12 16/256,,one time purchase,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJ4xd9K/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
26,Portable Monitor Touchscreen 10.4 inch,,one time purchase,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJbB82P/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
27,Stand Monitor 25 cm,,one time purchase,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJ4QBnr/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
28,Panel Box 60 x 40 x 20,,one time purchase,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJVwsRP/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
29,AC Power Socket,,one time purchase,,,13/09/25,1,#N/A,kebutuhan IOT engineer (project pak doni),URGENT,https://tk.tokopedia.com/ZSDJVQDD4/,Shaqueena,-,PR02413,CONTINUE,TE02447,DONE,DONE,P10491,,,https://foomx.odoo.com/web#id=4079&cids=1&menu_id=822&active_id=10549&model=good.received&view_type=form,TRUE,,,,,
